Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
France;won;38;3;+35;4;3;4;0;v Scotland;Stade de France;23 Feb 2003
Scotland;lost;3;38;-35;0;0;1;0;v France;Stade de France;23 Feb 2003
France;lost;12;15;-3;0;0;4;0;v Ireland;Lansdowne Road;8 Mar 2003
Ireland;won;15;12;+3;0;0;4;1;v France;Lansdowne Road;8 Mar 2003
Scotland;won;30;22;+8;3;3;3;0;v Wales;Murrayfield;8 Mar 2003
Wales;lost;22;30;-8;3;2;1;0;v Scotland;Murrayfield;8 Mar 2003
England;won;40;5;+35;6;5;0;0;v Italy;Twickenham;9 Mar 2003
Italy;lost;5;40;-35;1;0;0;0;v England;Twickenham;9 Mar 2003
Ireland;won;25;24;+1;2;0;4;1;v Wales;Millennium Stadium;22 Mar 2003
Wales;lost;24;25;-1;3;3;0;1;v Ireland;Millennium Stadium;22 Mar 2003
England;won;40;9;+31;4;4;4;0;v Scotland;Twickenham;22 Mar 2003
Scotland;lost;9;40;-31;0;0;3;0;v England;Twickenham;22 Mar 2003
France;won;53;27;+26;7;6;2;0;v Italy;Rome;23 Mar 2003
Italy;lost;27;53;-26;4;2;1;0;v France;Rome;23 Mar 2003
France;won;33;5;+28;3;3;4;0;v Wales;Stade de France;29 Mar 2003
Wales;lost;5;33;-28;1;0;0;0;v France;Stade de France;29 Mar 2003
Italy;lost;25;33;-8;3;2;2;0;v Scotland;Murrayfield;29 Mar 2003
Scotland;won;33;25;+8;4;2;3;0;v Italy;Murrayfield;29 Mar 2003
England;won;42;6;+36;5;4;1;2;v Ireland;Lansdowne Road;30 Mar 2003
Ireland;lost;6;42;-36;0;0;1;1;v England;Lansdowne Road;30 Mar 2003
France;won;35;17;+18;4;3;3;0;v Ireland;Stade de France;14 Feb 2004
Ireland;lost;17;35;-18;2;2;1;0;v France;Stade de France;14 Feb 2004
Scotland;lost;10;23;-13;1;1;0;1;v Wales;Millennium Stadium;14 Feb 2004
Wales;won;23;10;+13;3;1;2;0;v Scotland;Millennium Stadium;14 Feb 2004
England;won;50;9;+41;7;3;3;0;v Italy;Rome;15 Feb 2004
Italy;lost;9;50;-41;0;0;2;1;v England;Rome;15 Feb 2004
France;won;25;0;+25;3;2;2;0;v Italy;Stade de France;21 Feb 2004
Italy;lost;0;25;-25;0;0;0;0;v France;Stade de France;21 Feb 2004
England;won;35;13;+22;4;3;3;0;v Scotland;Murrayfield;21 Feb 2004
Scotland;lost;13;35;-22;1;1;2;0;v England;Murrayfield;21 Feb 2004
Ireland;won;36;15;+21;6;3;0;0;v Wales;Lansdowne Road;22 Feb 2004
Wales;lost;15;36;-21;2;1;1;0;v Ireland;Lansdowne Road;22 Feb 2004
Italy;won;20;14;+6;1;0;5;0;v Scotland;Rome;6 Mar 2004
Scotland;lost;14;20;-6;1;0;3;0;v Italy;Rome;6 Mar 2004
England;lost;13;19;-6;1;1;2;0;v Ireland;Twickenham;6 Mar 2004
Ireland;won;19;13;+6;1;1;4;0;v England;Twickenham;6 Mar 2004
France;won;29;22;+7;2;2;5;0;v Wales;Millennium Stadium;7 Mar 2004
Wales;lost;22;29;-7;1;1;5;0;v France;Millennium Stadium;7 Mar 2004
Ireland;won;19;3;+16;3;2;0;0;v Italy;Lansdowne Road;20 Mar 2004
Italy;lost;3;19;-16;0;0;1;0;v Ireland;Lansdowne Road;20 Mar 2004
England;won;31;21;+10;3;2;4;0;v Wales;Twickenham;20 Mar 2004
Wales;lost;21;31;-10;2;1;3;0;v England;Twickenham;20 Mar 2004
France;won;31;0;+31;3;2;4;0;v Scotland;Murrayfield;21 Mar 2004
Scotland;lost;0;31;-31;0;0;0;0;v France;Murrayfield;21 Mar 2004
Italy;lost;10;44;-34;1;1;1;0;v Wales;Millennium Stadium;27 Mar 2004
Wales;won;44;10;+34;6;4;2;0;v Italy;Millennium Stadium;27 Mar 2004
Ireland;won;37;16;+21;5;3;2;0;v Scotland;Lansdowne Road;27 Mar 2004
Scotland;lost;16;37;-21;1;1;2;1;v Ireland;Lansdowne Road;27 Mar 2004
England;lost;21;24;-3;2;1;3;0;v France;Stade de France;27 Mar 2004
France;won;24;21;+3;2;1;4;0;v England;Stade de France;27 Mar 2004
France;won;16;9;+7;1;1;2;1;v Scotland;Stade de France;5 Feb 2005
Scotland;lost;9;16;-7;0;0;3;0;v France;Stade de France;5 Feb 2005
England;lost;9;11;-2;0;0;3;0;v Wales;Millennium Stadium;5 Feb 2005
Wales;won;11;9;+2;1;0;2;0;v England;Millennium Stadium;5 Feb 2005
Ireland;won;28;17;+11;3;2;3;0;v Italy;Rome;6 Feb 2005
Italy;lost;17;28;-11;1;0;4;0;v Ireland;Rome;6 Feb 2005
Italy;lost;8;38;-30;1;0;1;0;v Wales;Rome;12 Feb 2005
Wales;won;38;8;+30;6;4;0;0;v Italy;Rome;12 Feb 2005
Ireland;won;40;13;+27;5;3;3;0;v Scotland;Murrayfield;12 Feb 2005
Scotland;lost;13;40;-27;2;0;1;0;v Ireland;Murrayfield;12 Feb 2005
England;lost;17;18;-1;2;2;1;0;v France;Twickenham;13 Feb 2005
France;won;18;17;+1;0;0;6;0;v England;Twickenham;13 Feb 2005
Italy;lost;10;18;-8;1;1;1;0;v Scotland;Murrayfield;26 Feb 2005
Scotland;won;18;10;+8;0;0;6;0;v Italy;Murrayfield;26 Feb 2005
France;lost;18;24;-6;2;1;1;1;v Wales;Stade de France;26 Feb 2005
Wales;won;24;18;+6;2;1;3;1;v France;Stade de France;26 Feb 2005
England;lost;13;19;-6;1;1;1;1;v Ireland;Lansdowne Road;27 Feb 2005
Ireland;won;19;13;+6;1;1;2;2;v England;Lansdowne Road;27 Feb 2005
France;won;26;19;+7;3;1;2;1;v Ireland;Lansdowne Road;12 Mar 2005
Ireland;lost;19;26;-7;1;1;4;0;v France;Lansdowne Road;12 Mar 2005
England;won;39;7;+32;6;3;1;0;v Italy;Twickenham;12 Mar 2005
Italy;lost;7;39;-32;1;1;0;0;v England;Twickenham;12 Mar 2005
Scotland;lost;22;46;-24;3;2;1;0;v Wales;Murrayfield;13 Mar 2005
Wales;won;46;22;+24;6;5;2;0;v Scotland;Murrayfield;13 Mar 2005
France;won;56;13;+43;7;6;3;0;v Italy;Rome;19 Mar 2005
Italy;lost;13;56;-43;1;1;2;0;v France;Rome;19 Mar 2005
Ireland;lost;20;32;-12;2;2;2;0;v Wales;Millennium Stadium;19 Mar 2005
Wales;won;32;20;+12;2;2;5;1;v Ireland;Millennium Stadium;19 Mar 2005
England;won;43;22;+21;7;4;0;0;v Scotland;Twickenham;19 Mar 2005
Scotland;lost;22;43;-21;3;2;1;0;v England;Twickenham;19 Mar 2005
Ireland;won;26;16;+10;2;2;4;0;v Italy;Lansdowne Road;4 Feb 2006
Italy;lost;16;26;-10;1;1;3;0;v Ireland;Lansdowne Road;4 Feb 2006
England;won;47;13;+34;6;4;3;0;v Wales;Twickenham;4 Feb 2006
Wales;lost;13;47;-34;1;1;2;0;v England;Twickenham;4 Feb 2006
France;lost;16;20;-4;2;0;2;0;v Scotland;Murrayfield;5 Feb 2006
Scotland;won;20;16;+4;2;2;2;0;v France;Murrayfield;5 Feb 2006
France;won;43;31;+12;6;5;1;0;v Ireland;Stade de France;11 Feb 2006
Ireland;lost;31;43;-12;4;4;1;0;v France;Stade de France;11 Feb 2006
England;won;31;16;+15;4;4;1;0;v Italy;Rome;11 Feb 2006
Italy;lost;16;31;-15;1;1;1;2;v England;Rome;11 Feb 2006
Scotland;lost;18;28;-10;2;1;2;0;v Wales;Millennium Stadium;12 Feb 2006
Wales;won;28;18;+10;4;4;0;0;v Scotland;Millennium Stadium;12 Feb 2006
France;won;37;12;+25;5;3;2;0;v Italy;Stade de France;25 Feb 2006
Italy;lost;12;37;-25;0;0;3;1;v France;Stade de France;25 Feb 2006
England;lost;12;18;-6;0;0;4;0;v Scotland;Murrayfield;25 Feb 2006
